MO_Name;Weekday;Hour;Provider;Number
Тимирязевский;пн;1.0;1;0.2539421005951343
Лианозово;пн;1.0;1;0.4876184864085203
Хамовники;пн;1.0;1;0.35416596208790324
Восточное Дегунино;пн;1.0;1;0.34227034051459854
Савёловский;пн;1.0;1;0.2695625340113552
Академический;пн;1.0;1;0.23467862456583075
Зюзино;пн;1.0;1;0.4967988979538948
Алтуфьевский;пн;1.0;1;0.37760260409639723
Марфино;пн;1.0;1;0.8461663356528621
Чертаново Центральное;пн;1.0;1;0.23444672005007108
Отрадное;пн;1.0;1;0.4954319350468377
Арбат;пн;1.0;1;0.513572971254679
Чертаново Южное;пн;1.0;1;0.26425621709185815
Бутырский;пн;1.0;1;0.49546926747041226
Тверской;пн;1.0;1;0.41470261728123503
Чертаново Северное;пн;1.0;1;0.489804483484118
Якиманка;пн;1.0;1;0.2414603679005646
Котловка;пн;1.0;1;0.29083924338329303
Останкинский;пн;1.0;1;0.13519279149262656
Донской;пн;1.0;1;0.3451466101474594
Бибирево;пн;1.0;1;0.49861862711162386
Бирюлёво Западное;пн;1.0;1;0.23246625296664128
Марьина Роща;пн;1.0;1;0.49465383864959345
Нагорный;пн;1.0;1;0.3883121873803536
Свиблово;пн;1.0;1;0.7816911633794951
Даниловский;пн;1.0;1;0.3287078029094334
Мещанский;пн;1.0;1;0.5525715425897908
Южное Медведково;пн;1.0;1;0.4805987620528789
Замоскворечье;пн;1.0;1;0.5213111258351908
Северное Медведково;пн;1.0;1;0.6401377367232179
Нагатино-Садовники;пн;1.0;1;0.39248422373294933
Москворечье-Сабурово;пн;1.0;1;0.2937351342378476
Царицыно;пн;1.0;1;0.44305306926521615
Басманный;пн;1.0;1;0.7328045477319443
Красносельский;пн;1.0;1;0.37485867771214093
Ростокино;пн;1.0;1;0.3563187861155607
Таганский;пн;1.0;1;0.5740099822537165
Алексеевский;пн;1.0;1;0.5273943341388361
Сокольники;пн;1.0;1;0.40588470892021494
Бирюлёво Восточное;пн;1.0;1;0.21160779567665813
Бабушкинский;пн;1.0;1;0.4868415347151094
Южнопортовый;пн;1.0;1;0.46798202266600725
Ярославский;пн;1.0;1;0.24515444177329537
Печатники;пн;1.0;1;0.1987692636944711
Богородское;пн;1.0;1;0.6174713106817565
Метрогородок;пн;1.0;1;0.06491017435645562
Лефортово;пн;1.0;1;0.44679945653934344
Орехово-Борисово Северное;пн;1.0;1;0.32392761712151896
Лосиноостровский;пн;1.0;1;0.4144058609834319
Нижегородский;пн;1.0;1;0.4387700612001073
Перово;пн;1.0;1;0.32341212836402816
Орехово-Борисово Южное;пн;1.0;1;0.2898998337603335
Марьино;пн;1.0;1;0.3808851980980345
Вешняки;пн;1.0;1;0.3827249233598059
Преображенское;пн;1.0;1;0.6069054266830974
Соколиная Гора;пн;1.0;1;0.3387883275327267
Люблино;пн;1.0;1;0.1658470203788727
Текстильщики;пн;1.0;1;0.2982535314741612
Братеево;пн;1.0;1;0.37904851974229914
Зябликово;пн;1.0;1;0.4287402385527839
Рязанский;пн;1.0;1;0.30920743632849457
Измайлово;пн;1.0;1;0.17206521910604447
Новогиреево;пн;1.0;1;0.30510503864315885
Кузьминки;пн;1.0;1;0.2577238226849862
Гольяново;пн;1.0;1;0.2048853573360643
Северное Измайлово;пн;1.0;1;0.38594356623026904
Капотня;пн;1.0;1;0.06641216902174299
Выхино-Жулебино;пн;1.0;1;0.30943382809752934
Восточное Измайлово;пн;1.0;1;0.5379955525164205
Ивановское;пн;1.0;1;0.3177149148406569
Кунцево;пн;1.0;1;0.19222540503868527
Саларьево-Румянцево;пн;1.0;1;0.13385751296897289
Южное Бутово;пн;1.0;1;0.36402669660800646
Выхино;пн;1.0;1;0.27964571257117427
Мякинино-Волоколамская-Митино-Пятницкое шоссе;пн;1.0;1;0.38164415544393
Бульвар Дмитрия Донского;пн;1.0;1;0.37163701340806476
Новокосино;пн;1.0;1;0.5717492513975839
Аэропорт Шереметьево;пн;1.0;1;0.05717492513983476
Аэропорт Домодедово;пн;1.0;1;0.0
Аэропорт Внуково;пн;1.0;1;0.028587462569863994
Филёвский Парк;пн;2.0;1;0.2033784654974486
Щукино;пн;2.0;1;0.17859768093974443
Нагатинский Затон;пн;2.0;1;0.21442748681445548
Дмитровский;пн;2.0;1;0.1882366208236349
Тёплый Стан;пн;2.0;1;0.2340986467173951
Ховрино;пн;2.0;1;0.589606039938704
Ломоносовский;пн;2.0;1;0.3482050686081255
Можайский;пн;2.0;1;0.2629613674165552
Строгино;пн;2.0;1;0.1482466451799894
Крылатское;пн;2.0;1;0.3070539792249936
Головинский;пн;2.0;1;0.2619253170113061
Южное Тушино;пн;2.0;1;0.10125539539494183
Северное Тушино;пн;2.0;1;0.32662643015776927
Черёмушки;пн;2.0;1;0.3430567538938448
Покровское-Стрешнево;пн;2.0;1;0.13574354615536752
Хорошёво-Мнёвники;пн;2.0;1;0.19234104989946993
Очаково-Матвеевское;пн;2.0;1;0.20294013191984497
Тропарёво-Никулино;пн;2.0;1;0.2692239931103981
Левобережный;пн;2.0;1;0.31859592672341863
Фили-Давыдково;пн;2.0;1;0.3571191227255911
Обручевский;пн;2.0;1;0.45752648122551354
Раменки;пн;2.0;1;0.4125595041201013
Войковский;пн;2.0;1;0.4160094585314148
Сокол;пн;2.0;1;0.6865186839863767
Западное Дегунино;пн;2.0;1;0.24520174429899383
Проспект Вернадского;пн;2.0;1;0.2654819394972978
