Epoch;ExternalName;GasPercent;Latitude;Longitude;ModelName;Provider;RecordId;RegistrationNumber
57190;;79,24;55.8291054;37.3709145;Hyundai Solaris;1;24625750;б552ну777
57190;;73,42;55.8795013;37.7159233;Hyundai Solaris;1;24625751;б554ну777
57190;;51,14;55.8090401;37.396637;Hyundai Solaris;1;24625752;б555ну777
57190;;34,18;55.4156075;37.8954201;Hyundai Solaris;1;24625753;б559ну777
57190;;31,14;55.8775749;37.6465569;Hyundai Solaris;1;24625754;б561ну777
57190;;31,39;55.7309151;37.5315208;Hyundai Solaris;1;24625755;б562ну777
57190;;70,63;55.6500053;37.7098999;Hyundai Solaris;1;24625756;б563ну777
57190;;54,94;55.6806602;37.7609749;Hyundai Solaris;1;24625757;б566ну777
57190;;23,29;55.78825;37.6125412;Hyundai Solaris;1;24625758;б578ну777
57190;;81,77;55.8410187;37.5442657;Hyundai Solaris;1;24625759;б580ну777
57190;;60;55.8507042;37.657032;Hyundai Solaris;1;24625760;б583ну777
57190;;49,12;55.7248383;37.8163414;Hyundai Solaris;1;24625761;б584нп777
57190;;48,86;55.8928604;37.5332413;Hyundai Solaris;1;24625762;б586ну777
57190;;44,05;55.8406906;37.5292397;Hyundai Solaris;1;24625763;б589ну777
57190;;79,24;55.8035889;37.8260803;Hyundai Solaris;1;24625764;б591ну777
57190;;61,01;55.8974342;37.6292458;Hyundai Solaris;1;24625765;б597ну777
57190;;71,39;55.8813705;37.6537132;Hyundai Solaris;1;24625766;б599ну777
57190;;50,63;55.8654976;37.7006111;Hyundai Solaris;1;24625767;б602ну777
57190;;11,39;55.8622589;37.4181671;Hyundai Solaris;1;24625768;б603нп777
57190;;84,81;55.8690338;37.496563;Hyundai Solaris;1;24625769;м020пе777
57190;;79,75;55.8681755;37.6226768;Hyundai Solaris;1;24625770;м024пе777
57190;;80,25;55.8616714;37.4492569;Hyundai Solaris;1;24625771;м025пе777
57190;;46,58;55.6828308;37.8648338;Hyundai Solaris;1;24625772;м034пе777
57190;;34,94;55.8106117;37.534008;Hyundai Solaris;1;24625773;м035пе777
57190;;68,1;55.745533;37.5021362;Hyundai Solaris;1;24625774;б609нп777
57190;;56,71;55.7619934;37.562542;Hyundai Solaris;1;24625775;б615нп777
57190;;65,06;55.7200813;37.6722221;Hyundai Solaris;1;24625776;м004пе777
57190;;24,05;55.7633743;37.8323364;Hyundai Solaris;1;24625777;м039пе777
57190;;44,56;55.6787605;37.4503937;Hyundai Solaris;1;24625778;м054пе777
57190;;42,28;55.6174927;37.7433662;Hyundai Solaris;1;24625779;й239пю777
57190;;27,09;55.8642807;37.5141983;Hyundai Solaris;1;24625780;й241пю777
57190;;22,02;55.8895416;37.5379143;Hyundai Solaris;1;24625781;м006пе777
57190;;39,75;55.8520279;37.6457901;Hyundai Solaris;1;24625782;й245пю777
57190;;44,81;55.7104378;37.6422539;Hyundai Solaris;1;24625783;й248пю777
57190;;55,69;55.563549;37.5685425;Hyundai Solaris;1;24625784;м012пе777
57190;;47,59;55.6349106;37.6299171;Hyundai Solaris;1;24625785;м014пе777
57190;;99,75;55.656002;37.5238724;Hyundai Solaris;1;24625786;м018пе777
57190;;30,63;55.7283325;37.660202;Hyundai Solaris;1;24625787;м019пе777
57190;;84,31;55.8293266;37.598156;Hyundai Solaris;1;24625788;б311пе777
57190;;51,16;55.6906586;37.8096886;Hyundai Solaris;1;24625789;б500ну777
57190;;33,72;55.8771782;37.6506119;Hyundai Solaris;1;24625790;б489ну777
57190;;66,98;55.7493019;37.8796692;Hyundai Solaris;1;24625791;б545ну777
57190;;66,05;55.8287773;37.8221054;Hyundai Solaris;1;24625792;б543ну777
57190;;40;55.7033615;37.5704651;Hyundai Solaris;1;24625793;б542ну777
57190;;55,35;55.605938;37.6599007;Hyundai Solaris;1;24625794;б538ну777
57190;;13,26;55.7618561;37.5390892;Hyundai Solaris;1;24625795;б535ну777
57190;;40,47;55.7824135;37.5324783;Hyundai Solaris;1;24625796;б534ну777
57190;;24,42;55.7405853;37.4363899;Hyundai Solaris;1;24625797;б533ну777
57190;;78,84;55.882;37.6560898;Hyundai Solaris;1;24625798;б532ну777
57190;;79,53;55.5825768;37.5980186;Hyundai Solaris;1;24625799;б531ну777
57190;;70,7;55.8039017;37.725975;Hyundai Solaris;1;24625800;б521ну777
57190;;51,86;55.7245216;37.3963928;Hyundai Solaris;1;24625801;б498ну777
57190;;18,14;55.9032021;37.5726242;Hyundai Solaris;1;24625802;б520ну777
57190;;23,49;55.8550606;37.3546066;Hyundai Solaris;1;24625803;б519ну777
57190;;99,77;55.6854248;37.8556824;Hyundai Solaris;1;24625804;б504ну777
57190;;72,56;55.8551025;37.3546333;Hyundai Solaris;1;24625805;б486ну777
57190;;20,46;55.7799568;37.4491234;Hyundai Solaris;1;24625806;б464ну777
57190;;49,07;55.6216049;37.6666222;Hyundai Solaris;1;24625807;б460ну777
57190;;21,63;55.791172;37.8187294;Hyundai Solaris;1;24625808;б453ну777
57190;;26,05;55.8759346;37.6374435;Hyundai Solaris;1;24625809;б420ну777
57190;;61,86;55.7459679;37.6819763;Hyundai Solaris;1;24625810;б401ну777
57190;;65,35;55.6986084;37.8656387;Hyundai Solaris;1;24625811;б389ну777
57190;;84,19;55.8354874;37.6428108;Hyundai Solaris;1;24625812;б362ну777
57190;;71,16;55.6166344;37.699585;Hyundai Solaris;1;24625813;б312пе777
57190;;40,47;55.8103218;37.4597626;Hyundai Solaris;1;24625814;б376пе777
57190;;18,37;55.77071;37.407402;Hyundai Solaris;1;24625815;б351пе777
57190;;29,54;55.8523293;37.6856651;Hyundai Solaris;1;24625816;б349пе777
57190;;26,75;55.7510223;37.8707352;Hyundai Solaris;1;24625817;б347пе777
57190;;25,81;55.6482162;37.7120972;Hyundai Solaris;1;24625818;б344пе777
57190;;29,77;55.824543;37.5083542;Hyundai Solaris;1;24625819;б342пе777
57190;;66,28;55.6608505;37.4636154;Hyundai Solaris;1;24625820;б341пе777
57190;;54,42;55.6979942;37.8567467;Hyundai Solaris;1;24625821;б337пе777
57190;;28,61;55.6435013;37.7304153;Hyundai Solaris;1;24625822;б332пе777
57190;;69,53;55.8582726;37.5605621;Hyundai Solaris;1;24625823;б330пе777
57190;;50,7;55.6693077;37.6598587;Hyundai Solaris;1;24625824;б329пе777
57190;;59,3;55.6839371;37.4206657;Hyundai Solaris;1;24625825;б324пе777
57190;;63,95;55.8555679;37.6884918;Hyundai Solaris;1;24625826;б318пе777
57190;;24,18;55.8716431;37.4969749;Hyundai Solaris;1;24625827;б316пе777
57190;;72,56;55.8188477;37.3614235;Hyundai Solaris;1;24625828;б280пе777
57190;;65,81;55.7750931;37.5282555;Hyundai Solaris;1;24625829;б297пе777
57190;;30,7;55.8109245;37.717205;Hyundai Solaris;1;24625830;б292пе777
57190;;74,42;55.6638718;37.5772705;Hyundai Solaris;1;24625831;б290пе777
57190;;49,54;55.7176666;37.6473351;Hyundai Solaris;1;24625832;б282пе777
57190;;43,49;55.8316727;37.4995422;Hyundai Solaris;1;24625833;б278пе777
57190;;83,8;55.9038963;37.5500031;Hyundai Solaris ;1;24625834;н550ну777
57190;;45;55.767498;37.8251495;Hyundai Solaris ;1;24625835;н610ну777
57190;;14,94;55.6726265;37.5410576;Hyundai Solaris ;1;24625836;н616ну777
57190;;27,09;55.675808;37.5800705;Hyundai Solaris ;1;24625837;н640ну777
57190;;76,67;55.6123581;37.7173004;Hyundai Solaris ;1;24625838;н648ну777
57190;;31,39;55.890892;37.6411057;Hyundai Solaris ;1;24625839;н657ну777
57190;;22,53;55.6975975;37.7857971;Hyundai Solaris ;1;24625840;н658ну777
57190;;81,11;55.6467667;37.7465096;Hyundai Solaris ;1;24625841;н681ну777
57190;;76,46;55.6452904;37.5190887;Hyundai Solaris ;1;24625842;н686ну777
57190;;21,67;55.8792534;37.6080742;Hyundai Solaris ;1;24625843;н692ну777
57190;;45,32;55.7156296;37.3925819;Hyundai Solaris ;1;24625844;н704ну777
57190;;58,33;55.8913574;37.5706711;Hyundai Solaris ;1;24625845;н706ну777
57190;;46,67;55.8293266;37.5196495;Hyundai Solaris ;1;24625846;н707OX777
57190;;11,43;55.7961693;37.4071693;Hyundai Solaris ;1;24625847;н741ну777
57190;;84,28;55.667408;37.6152878;Hyundai Solaris ;1;24625848;н744ну777
57190;;94,76;55.5976295;37.7199402;Hyundai Solaris ;1;24625849;н746ну777
